x, y
66519.86013, 0.19993919530029902
66529.86013, 0.2002490009262351
66539.86013, 0.20056030459418114
66549.86013, 0.2008731063041371
66559.86013, 0.20118740605610302
66569.86013, 0.20150320385007886
66579.86013, 0.20182049968606464
66589.86013, 0.20213929356406035
66599.86013, 0.202459585484066
66609.86013, 0.2027813754460816
66619.86013, 0.20310466345010716
66629.86013, 0.2034294494961426
66639.86013, 0.20375573358418803
66649.86013, 0.20408351571424338
66659.86013, 0.2044127958863087
66669.86013, 0.20474357410038393
66679.86013, 0.20507585035646908
66689.86013, 0.2054096246545642
66699.86013, 0.20574489699466925
66709.86013, 0.2060816673767842
66719.86013, 0.20641993580090912
66729.86013, 0.206759702267044
66739.86013, 0.20710096677518883
66749.86013, 0.20744372932534355
66759.86013, 0.20778798991750824
